id,year,bankname,w1,w2,w3,y1,y2,CHHI,THHI,esg,mesg,mdesg,mmesg,t,lnw2,lnw3,lny1,lny2,lnw2_lnw3,lnw2_lny1,lnw2_lny2,lnw3_lny1,lnw3_lny2,lny1_lny2,_t,_t_lnw2,_t_lnw3,_t_lny1,_t_lny2,_t_2,lnw2_2,lnw3_2,lny1_2,lny2_2,mw1,CHHI_esg,THHI_esg,CHHI_mesg,THHI_mesg,CHHI_mdesg,THHI_mdesg,CHHI_mmesg,THHI_mmesg,msize_THHI,mTHHI,mTHHI_mdesg
2,2015,中信银行,1.76531,0.004371,0.021715,2.10E+12,2.50E+12,2.48,14.6,76.36,0,0,0,3,-0.01954499,0.02428971,0.26962264,-0.01738829,-0.00023737,-0.00263489,0.00016993,0.00327453,-0.00021118,-0.00234414,-2.5,0.02443124,-0.03036214,-0.3370283,0.02173536,3.125,0.000191,0.00029499,0.03634818,0.00015118,-0.56832631,189.3728,1114.856,0,0,0,0,0,0,13.804,0.796,0
2,2016,中信银行,1.28148,0.004117,0.018097,2.50E+12,2.90E+12,2.71,16.4,83.56,1,1,1,4,-0.07941206,-0.15796738,0.44397603,0.13103172,0.00627226,-0.01762853,-0.00520275,-0.03506686,-0.01034937,0.02908747,-1.5,0.05955905,0.11847553,-0.33298202,-0.09827379,1.125,0.00315314,0.01247685,0.09855736,0.00858466,-0.24801566,226.4476,1370.384,2.71,16.4,2.71,16.4,2.71,16.4,13.804,2.596,2.596
2,2017,中信银行,1.00783,0.004829,0.021332,1.90E+12,3.20E+12,2.25,16.88,84.49,1,1,1,5,0.0801026,0.00649474,0.16953918,0.22947179,0.00026012,0.00679026,0.00919064,0.00055056,0.00074518,0.01945223,-0.5,-0.02002565,-0.00162368,-0.04238479,-0.05736795,0.125,0.00320821,0.00002109,0.01437177,0.02632865,-0.0077995,190.1025,1426.1912,2.25,16.88,2.25,16.88,2.25,16.88,13.804,3.076,3.076
2,2018,中信银行,1.07557,0.004879,0.021267,1.90E+12,3.60E+12,2.44,14.49,72.74,0,0,0,6,0.09040348,0.00344302,0.16953918,0.34725483,0.00015563,0.00766347,0.01569652,0.00029186,0.0005978,0.02943665,0.5,0.02260087,0.00086075,0.04238479,0.08681371,0.125,0.00408639,5.93E-06,0.01437177,0.06029296,-0.07285075,177.4856,1054.0026,0,0,0,0,0,0,13.804,0.686,0
2,2019,中信银行,1.09655,0.00439,0.020921,2.20E+12,4.00E+12,2.27,13.12,72.31,0,0,0,7,-0.01520758,-0.01296012,0.31614265,0.45261534,0.00009855,-0.00240388,-0.00344159,-0.00204862,-0.00293297,0.07154551,1.5,-0.01140568,-0.00972009,0.23710699,0.33946151,1.125,0.00011564,0.00008398,0.04997309,0.10243032,-0.09216889,164.1437,948.7072,0,0,0,0,0,0,13.804,-0.684,0
2,2020,中信银行,0.725641,0.003951,0.019636,2.60E+12,4.50E+12,4.31,15.74,79.59,0,0,0,8,-0.12056809,-0.07634894,0.48319674,0.57039838,0.00460262,-0.02912905,-0.03438592,-0.01844578,-0.02177466,0.13780732,2.5,-0.15071012,-0.09543618,0.60399592,0.71299797,3.125,0.00726833,0.00291458,0.11673954,0.16267716,0.32069988,343.0329,1252.7466,0,0,0,0,0,0,13.804,1.936,0
2,2021,中信银行,0.81386,0.004277,0.019678,2.70E+12,4.90E+12,1.23,10.15,79.94,0,0,0,9,-0.04128498,-0.0742123,0.52093707,0.65555619,0.00153193,-0.01075344,-0.01353231,-0.01932997,-0.02432516,0.17075176,3.5,-0.07224871,-0.12987152,0.91163987,1.1472233,6.125,0.00085222,0.00275373,0.13568771,0.21487696,0.20596692,98.3262,811.391,0,0,0,0,0,0,13.804,-3.654,0
2,2022,中信银行,0.835202,0.004455,0.019065,2.90E+12,5.20E+12,1.19,9.84,81.57,1,1,0,10,-0.00050974,-0.10585936,0.59239603,0.71497961,0.00002698,-0.00015098,-0.00018223,-0.03135533,-0.03784364,0.21177554,4.5,-0.00114692,-0.23818357,1.3328911,1.6087041,10.125,1.30E-07,0.0056031,0.17546653,0.25559792,0.18008167,97.0683,802.6488,1.19,9.84,1.19,9.84,0,0,13.804,-3.964,-3.964
3,2013,中国银行,0.689529,0.005244,0.016967,3.70E+12,7.60E+12,2.1,14.2,80.66,1,1,0,1,0.16254776,-0.22244328,0.83601811,1.0944692,-0.01807883,0.06794644,0.08895176,-0.0929833,-0.12172866,0.45749805,-4.5,-0.36573246,0.50049737,-1.8810408,-2.4625558,10.125,0.01321089,0.02474051,0.34946314,0.59893145,0.37174652,169.386,1145.372,2.1,14.2,2.1,14.2,0,0,14.37,-0.17,-0.17
3,2014,中国银行,0.643443,0.005107,0.018462,4.00E+12,8.50E+12,2.4,14.7,80.47,1,1,0,2,0.13607534,-0.13799899,0.91397965,1.2063871,-0.00938913,0.06218505,0.08207977,-0.06306414,-0.0832401,0.55130665,-3.5,-0.23813185,0.24149823,-1.5994644,-2.1111775,6.125,0.00925825,0.00952186,0.4176794,0.72768497,0.44092183,193.128,1182.909,2.4,14.7,2.4,14.7,0,0,14.37,0.33,0.33
